mG_eV,rH,sigma,phase,M_vector_eV,mKK_eV,tau,A,c,D,min_mass2,max_mass2,axis_budget,budget,signed,signed_chi,signed_with_valley,valley_energy,radial_mass,min_schur,formal_net_c,soft_fraction,metric_fraction,FT_ratio,FZ_ratio,hierarchy,perturbativity,stable,asymptotic_mass2,asymptotic_positive,mass_scale,source_ratio,persist_ratio,contact_ratio,Btree_ratio,B5d_ratio,valley_ratio,necessary
1e-12,2,-1,quadrature,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,-5.203165184723636e-30,9.993840238901696e-39,7.394172325623676e-37,0.00025330459865662074,0.00025330459865662074,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,6.772403623718379e-46,6.928203230275509e-12,9.993840238901696e-39,1.0406330369447272e-29,1.2323620542706126e-59,2.6023842190803375e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,3.837344008736519e-73,True
1e-12,2,-1,pi,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,-5.203165184723636e-30,9.993840238901696e-39,7.394172325623676e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238901696e-39,1.0406330369447272e-29,1.2323620542706126e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,2,0,zero,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238901696e-39,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,0.0,6.928203230275509e-12,9.993840238901696e-39,5.203165184723636e-30,5.283877410568906e-76,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,0.0,True
1e-12,2,0,quadrature,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238901696e-39,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,6.772403623718379e-46,6.928203230275509e-12,9.993840238901696e-39,5.203165184723636e-30,5.283877410568906e-76,2.6023842190803375e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,3.837344008736519e-73,True
1e-12,2,0,pi,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238901696e-39,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,0.0,6.928203230275509e-12,9.993840238901696e-39,5.203165184723636e-30,5.283877410568906e-76,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,0.0,True
1e-12,2,1,zero,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,5.203165184723636e-30,9.993840238901696e-39,7.394172325623676e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238901696e-39,-3.948135324513355e-60,1.2323620542706126e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,2,1,quadrature,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,5.203165184723636e-30,9.993840238901696e-39,7.394172325623676e-37,0.00025330459865662074,0.00025330459865662074,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,6.772403623718379e-46,6.928203230275509e-12,9.993840238901696e-39,-3.948135324513355e-60,1.2323620542706126e-59,2.6023842190803375e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,3.837344008736519e-73,True
1e-12,2,1,pi,1000000000000.0,100000000000000.0,1.4625759647406522e-61,4.335970987269697e-31,5.203165184723636e-30,5.203165184723636e-30,9.993840238901696e-39,7.394172325623676e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238901696e-39,-3.948135324513355e-60,1.2323620542706126e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.662657616966349e-66,True,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,4,-1,zero,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,-1.0406330369447272e-29,9.993840238901706e-39,7.394172325623676e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238901706e-39,1.560949555417091e-29,1.2323620542706128e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,8.446709060664182e-23,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,4,-1,quadrature,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,-1.0406330369447272e-29,9.993840238901706e-39,7.394172325623676e-37,0.00025330459865662074,0.00025330459865662074,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,6.772403623718373e-46,6.928203230275509e-12,9.993840238901706e-39,1.560949555417091e-29,1.2323620542706128e-59,2.6023842190803354e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,8.446709060664182e-23,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,7.051930771252618e-61,True
1e-12,4,-1,pi,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,-1.0406330369447272e-29,9.993840238901706e-39,7.394172325623676e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238901706e-39,1.560949555417091e-29,1.2323620542706128e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,8.446709060664182e-23,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,4,0,zero,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238901706e-39,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,0.0,6.928203230275509e-12,9.993840238901706e-39,5.203165184723636e-30,5.283877410568906e-76,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,0.0,True
1e-12,4,0,quadrature,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238901706e-39,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,6.772403623718373e-46,6.928203230275509e-12,9.993840238901706e-39,5.203165184723636e-30,5.283877410568906e-76,2.6023842190803354e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,7.051930771252618e-61,True
1e-12,4,0,pi,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,0.0,9.993840238901706e-39,7.394172325623676e-37,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,4.223354530332091e-23,0.0,6.928203230275509e-12,9.993840238901706e-39,5.203165184723636e-30,5.283877410568906e-76,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,0.0,0.0,0.0,0.0,0.0,True
1e-12,4,1,zero,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,1.0406330369447272e-29,9.993840238901706e-39,7.394172325623676e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238901706e-39,-5.203165184723636e-30,1.2323620542706126e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,8.446709060664182e-23,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,4,1,quadrature,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,1.0406330369447272e-29,9.993840238901706e-39,7.394172325623676e-37,0.00025330459865662074,0.00025330459865662074,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,6.772403623718373e-46,6.928203230275509e-12,9.993840238901706e-39,-5.203165184723636e-30,1.2323620542706126e-59,2.6023842190803354e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,8.446709060664182e-23,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,7.051930771252618e-61,True
1e-12,4,1,pi,1000000000000.0,100000000000000.0,2.9251519294813043e-61,4.335970987269697e-31,5.203165184723636e-30,1.0406330369447272e-29,9.993840238901706e-39,7.394172325623676e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238901706e-39,-5.203165184723636e-30,1.2323620542706126e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,1.0406330369452933e-53,True,7.394172325623676e-37,4.223354530332091e-23,8.446709060664182e-23,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,100,-1,zero,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-28,9.993840238902206e-39,7.394172325623681e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238902206e-39,2.6536142442090545e-28,1.2323620542706152e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,2.1116772651660455e-21,0.0002533045986560875,0.0,0.0,0.0,True
1e-12,100,-1,quadrature,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-28,9.993840238902206e-39,7.394172325623681e-37,0.00025330459865662074,0.00025330459865662074,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,6.772403623718034e-46,6.928203230275509e-12,9.993840238902206e-39,2.6536142442090545e-28,1.2323620542706152e-59,2.602384219080205e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,2.1116772651660455e-21,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,3.4554460779115955e-59,True
1e-12,100,-1,pi,1000000000000.0,100000000000000.0,7.31287982370326e-60,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-28,9.993840238902206e-39,7.394172325623681e-37,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0002533045986560875,0.0,6.928203230275509e-12,9.993840238902206e-39,2.6536142442090545e-28,1.2323620542706152e-59,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,5.099101881029219e-52,True,7.394172325623681e-37,4.223354530332091e-23,2.1116772651660455e-21,0.0002533045986560875,0.0,0.0,0.0,True
