mg,mv,kk,sigma,phase,A,cforce,contactforce,treeBforce,loopBforce,valleyforce,force_sum,min_mass2,max_mass2,min_baseline,max_stabilization,max_abs_Jy,metric_fraction,FT_ratio,FZ_ratio,mass_hierarchy,perturbativity,stable,force_ok,auxiliary_ok,hierarchy_ok,metric_ok,perturbative_ok,necessary_intersection,asymptotic_mass2,critical_U,critical_chi
1e-12,1000000000000.0,100000000000000.0,-1,quadrature,4.335970987269697e-31,4.2233545303321024e-23,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,7.075077378630681e-61,0.00025330459866800697,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,2.2238512893155198e-23,2.6023842190803407e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,1000000000000.0,100000000000000.0,-1,pi,4.335970987269697e-31,4.2233545303321024e-23,0.0002533045986560875,0.0,0.0,0.0,0.0002533045986560875,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,0.0,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,1000000000000.0,100000000000000.0,0,zero,4.335970987269697e-31,4.2233545303321024e-23,0.0,0.0,0.0,0.0,4.2233545303321024e-23,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,0.0,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,1000000000000.0,100000000000000.0,0,quadrature,4.335970987269697e-31,4.2233545303321024e-23,0.0,0.0,0.0,7.075077378630681e-61,4.2233545303321024e-23,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,2.2238512893155198e-23,2.6023842190803407e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,1000000000000.0,100000000000000.0,0,pi,4.335970987269697e-31,4.2233545303321024e-23,0.0,0.0,0.0,0.0,4.2233545303321024e-23,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,0.0,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,1000000000000.0,100000000000000.0,1,zero,4.335970987269697e-31,4.2233545303321024e-23,0.0002533045986560875,0.0,0.0,0.0,0.0002533045986560875,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,0.0,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,1000000000000.0,100000000000000.0,1,quadrature,4.335970987269697e-31,4.2233545303321024e-23,0.0002533045986560875,6.486026284518144e-27,1.1919444343480164e-14,7.075077378630681e-61,0.00025330459866800697,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,2.2238512893155198e-23,2.6023842190803407e-23,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,1000000000000.0,100000000000000.0,1,pi,4.335970987269697e-31,4.2233545303321024e-23,0.0002533045986560875,0.0,0.0,0.0,0.0002533045986560875,9.993840238901685e-39,7.394172325623676e-37,5.662844897208406e-66,7.394172325623676e-37,0.0,0.0,4.217543716430216e-09,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-31,157.04341217318603
1e-12,10000000000000.0,100000000000000.0,-1,zero,4.335970987269697e-31,4.2233545303321024e-23,2.5330459865608746e-06,0.0,0.0,0.0,2.5330459865608746e-06,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,-1,quadrature,4.335970987269697e-31,4.2233545303321024e-23,2.5330459865608746e-06,6.486026284518144e-29,1.1919444343480164e-16,7.047440357621856e-57,2.533045986680069e-06,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,2.2238512893155198e-23,2.6023842190806085e-22,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,-1,pi,4.335970987269697e-31,4.2233545303321024e-23,2.5330459865608746e-06,0.0,0.0,0.0,2.5330459865608746e-06,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,0,zero,4.335970987269697e-31,4.2233545303321024e-23,0.0,0.0,0.0,0.0,4.2233545303321024e-23,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,0,quadrature,4.335970987269697e-31,4.2233545303321024e-23,0.0,0.0,0.0,7.047440357621856e-57,4.2233545303321024e-23,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,2.2238512893155198e-23,2.6023842190806085e-22,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,0,pi,4.335970987269697e-31,4.2233545303321024e-23,0.0,0.0,0.0,0.0,4.2233545303321024e-23,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,1,zero,4.335970987269697e-31,4.2233545303321024e-23,2.5330459865608746e-06,0.0,0.0,0.0,2.5330459865608746e-06,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,1,quadrature,4.335970987269697e-31,4.2233545303321024e-23,2.5330459865608746e-06,6.486026284518144e-29,1.1919444343480164e-16,7.047440357621856e-57,2.533045986680069e-06,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,2.2238512893155198e-23,2.6023842190806085e-22,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-12,10000000000000.0,100000000000000.0,1,pi,4.335970987269697e-31,4.2233545303321024e-23,2.5330459865608746e-06,0.0,0.0,0.0,2.5330459865608746e-06,9.993840238900655e-41,7.394172325623665e-39,5.662844897208406e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302154e-11,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369441609e-53,8.671941974534674e-29,154.740827080192
1e-06,100000000000.0,100000000000000.0,-1,zero,4.335970987269697e-31,4.22335453033213e-11,0.025330459865608754,0.0,0.0,0.0,0.0253304599078423,9.993736175598002e-37,7.394171284990639e-35,5.662844897208407e-66,7.394172325623676e-35,0.0,0.0,0.42175437164302154,2.4822993919656557e-29,1.0,0.012665147955292222,True,True,False,False,True,True,False,-1.0406330369447272e-41,8.671941974539394e-21,145.53048670821553
