n,Lambda_eV,mG_eV,muH_eV,muL_eV,cUV_hat,heavy_threshold_hat,cL_hat,ell,potential_hat,derivative_hat,normalized_error
128,1000000000000.0,1e-14,1250000000000.0,1000000000000.0,-2.1934770781467243,-0.036810091237053144,-2.2528963381250877,-46.3920718830119,-4.6791370432604324,-4.653806747349849,0.0
128,1000000000000.0,1e-14,2000000000000.0,8.435087432860433,-2.0744237680682933,-0.10824207728411175,-4.836446802588039,4.605170185988091,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,2000000000000.0,25.3052622985813,-2.0744237680682933,-0.10824207728411175,-4.725134105136168,2.407945608651872,-4.6791370432604324,-4.653806747349848,2.220446049250313e-16
128,1000000000000.0,1e-14,2000000000000.0,84.35087432860433,-2.0744237680682933,-0.10824207728411175,-4.6031461555286795,-1.1102230246251565e-16,-4.6791370432604324,-4.653806747349848,2.220446049250313e-16
128,1000000000000.0,1e-14,2000000000000.0,253.052622985813,-2.0744237680682933,-0.10824207728411175,-4.491833458076809,-2.1972245773362196,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,2000000000000.0,843.5087432860433,-2.0744237680682933,-0.10824207728411175,-4.36984550846932,-4.605170185988092,-4.6791370432604324,-4.653806747349848,2.220446049250313e-16
128,1000000000000.0,1e-14,2000000000000.0,500000000000.0,-2.0744237680682933,-0.10824207728411175,-2.323126830897771,-45.00577752189201,-4.6791370432604324,-4.653806747349849,0.0
128,1000000000000.0,1e-14,2000000000000.0,1000000000000.0,-2.0744237680682933,-0.10824207728411175,-2.2528963381250877,-46.3920718830119,-4.6791370432604324,-4.653806747349849,0.0
128,1000000000000.0,1e-12,500000000000.0,843.5087432860433,-2.4255762319317076,0.10244940103393688,-4.36984550846932,4.605170185988091,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
128,1000000000000.0,1e-12,500000000000.0,2530.5262298581297,-2.4255762319317076,0.10244940103393688,-4.25853281101745,2.407945608651872,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,500000000000.0,8435.087432860433,-2.4255762319317076,0.10244940103393688,-4.136544861409962,-2.220446049250313e-16,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,500000000000.0,25305.2622985813,-2.4255762319317076,0.10244940103393688,-4.025232163958091,-2.1972245773362196,-4.212535749141715,-4.18720545323113,0.0
128,1000000000000.0,1e-12,500000000000.0,84350.87432860433,-2.4255762319317076,0.10244940103393688,-3.903244214350602,-4.605170185988092,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,500000000000.0,500000000000.0,-2.4255762319317076,0.10244940103393688,-2.323126830897771,-35.79543714991583,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,500000000000.0,1000000000000.0,-2.4255762319317076,0.10244940103393688,-2.252896338125088,-37.181731511035714,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,750000000000.0,843.5087432860433,-2.3228707202337384,0.040826094015155384,-4.369845508469321,4.605170185988091,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,750000000000.0,2530.5262298581297,-2.3228707202337384,0.040826094015155384,-4.25853281101745,2.407945608651872,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,750000000000.0,8435.087432860433,-2.3228707202337384,0.040826094015155384,-4.136544861409962,-2.220446049250313e-16,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,750000000000.0,25305.2622985813,-2.3228707202337384,0.040826094015155384,-4.025232163958091,-2.1972245773362196,-4.212535749141715,-4.18720545323113,0.0
128,1000000000000.0,1e-12,750000000000.0,84350.87432860433,-2.3228707202337384,0.040826094015155384,-3.903244214350602,-4.605170185988092,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,750000000000.0,500000000000.0,-2.3228707202337384,0.040826094015155384,-2.323126830897771,-35.79543714991583,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,750000000000.0,1000000000000.0,-2.3228707202337384,0.040826094015155384,-2.252896338125088,-37.181731511035714,-4.212535749141715,-4.1872054532311305,2.220446049250313e-16
128,1000000000000.0,1e-12,1000000000000.0,843.5087432860433,-2.2500000000000004,-0.002896338125087436,-4.36984550846932,4.605170185988091,-4.212535749141714,-4.18720545323113,2.220446049250313e-16
